,address,incidentCount,lat,lng,incidentCummSum,daysWithIncidentPercent
201,"700 COLUMBIA BD, LETHBRIDGE, AB, Canada",44,49.6698398,-112.8901895,0.6411481424858584,0.09454545454545454
208,"3000 26 AV, LETHBRIDGE, AB, Canada",43,49.6665135,-112.7980794,0.6470149824185905,0.08727272727272728
209,"1700 5 AV, LETHBRIDGE, AB, Canada",43,49.6932092,-112.8175008,0.6478367222137288,0.12363636363636364
210,"500 COLUMBIA BD, LETHBRIDGE, AB, Canada",43,49.6744573,-112.8895883,0.6486584620088671,0.08727272727272728
211,"700 13 ST, LETHBRIDGE, AB, Canada",43,49.6893494,-112.8245964,0.6494802018040055,0.09090909090909091
212,"1 LAVAL BD, LETHBRIDGE, AB, Canada",43,49.6655954,-112.8754943,0.6503019415991439,0.09090909090909091
217,"500 4 ST, LETHBRIDGE, AB, Canada",42,49.6924211,-112.8415565,0.654315089435866,0.10181818181818182
219,"1300 6 AV, LETHBRIDGE, AB, Canada",42,49.6916368,-112.8241513,0.6559203485705549,0.08
218,"2700 FAIRWAY PLAZA RD, LETHBRIDGE, AB, Canada",42,49.6669911,-112.7948459,0.6551177190032105,0.09090909090909091
213,"1 DALHOUSIE CT, LETHBRIDGE, AB, Canada",42,49.6707028,-112.8705793,0.6511045711664883,0.09090909090909091
216,"600 RED CROW BD, LETHBRIDGE, AB, Canada",42,49.68382,-112.8986746,0.6535124598685216,0.07272727272727272
215,"3400 20 AV, LETHBRIDGE, AB, Canada",42,49.672747,-112.7915132,0.6527098303011772,0.09090909090909091
214,"300 17 ST, LETHBRIDGE, AB, Canada",42,49.7029374,-112.8186054,0.6519072007338328,0.06909090909090909
220,"1800 23 ST, LETHBRIDGE, AB, Canada",41,49.72093659999999,-112.8103933,0.6567038679101055,0.09090909090909091
221,"200 SILKSTONE RD, LETHBRIDGE, AB, Canada",41,49.67174929999999,-112.8968389,0.657487387249656,0.09090909090909091
