ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P23009863,"03/03/2023, 3:56:07 PM","03/04/2023, 5:48:59 AM",LETHBRIDGE,AB,.,800 Block 5 AV,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009864,"03/03/2023, 4:04:33 PM","03/04/2023, 5:49:00 AM",LETHBRIDGE,AB,.,1 Block JERRY POTTS BD,INDECENCY/LEWDNESS,Sexual Offense,INDECENCY/LEWDNESS
P23009865,"03/03/2023, 4:11:25 PM","03/04/2023, 5:49:00 AM",LETHBRIDGE,AB,.,800 Block 23 ST,ASSIST OTHER AGENCIES,Other,ASSIST OTHER AGENCIES
P23009866,"03/03/2023, 4:31:18 PM","03/04/2023, 5:49:00 AM",LETHBRIDGE,AB,.,300 Block 4 ST,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P23009867,"03/03/2023, 4:39:02 PM","03/04/2023, 5:49:00 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC/TRANSPORTATION INCIDENT (CRASH),Other,TRAFFIC/TRANSPORTATION INCIDENT (CRASH)
P23009868,"03/03/2023, 4:40:54 PM","03/04/2023, 5:49:00 AM",LETHBRIDGE,AB,.,800 Block 5 AV,TRAFFIC/TRANSPORTATION INCIDENT (CRASH),Other,TRAFFIC/TRANSPORTATION INCIDENT (CRASH)
CA23004824,"03/03/2023, 12:02:00 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,600 Block 8 ST, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
CA23004821,"03/03/2023, 2:40:00 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,800 Block 2A AV, RMS] Assist Others,Other,Assist Others
RM23051203,"03/03/2023, 3:00:00 PM","03/04/2023, 5:49:09 AM",LETHBRIDGE,AB,.,2400 Block 14 AV, RMS] Assist Others,Other,Assist Others
RM23051202,"03/01/2023, 3:00:00 PM","03/04/2023, 5:49:08 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Fail to Appear Finger Prints,Other,Fail to Appear Finger Prints
RM23051205,"03/01/2023, 3:00:00 PM","03/04/2023, 5:49:09 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Fail to Appear Finger Prints,Other,Fail to Appear Finger Prints
